Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?b  1615  ?f  ?a  882  ?f   => ?a  880  ?b,0.702285545,0.999155405,1.0,2366,2368,2366,?a,99353171 1615 88530726 41584783 882 68083444 => 84341333 880 89079872,?b /location/country/first_level_divisions ?f ?a /wine/wine/region ?f => ?a /wine/wine/country ?b,"Cuba /location/country/first_level_divisions Villa Clara Province 41584783 /wine/wine/region 68083444 => 2006 Macchia ""Ambitious"" Zinfandel /wine/wine/country United States of America","{'?b': ""['/tv/tv_location', '/sports/sports_team_location', '/event/speech_topic', '/organization/organization_sector', '/government/governmental_jurisdiction', '/olympics/olympic_participating_country', '/location/administrative_division', '/location/country', '/sports/sport_country', '/periodicals/newspaper_circulation_area', '/location/location', '/travel/travel_destination', '/media_common/quotation_subject', '/meteorology/cyclone_affected_area', '/biology/breed_origin', '/exhibitions/exhibition_subject', '/religion/religious_leadership_jurisdiction', '/radio/radio_subject', '/location/dated_location', '/organization/contact_category', '/organization/organization_founder', '/film/film_location', '/location/statistical_region', '/business/business_location', '/media_common/quotation_addressee', '/government/government', '/military/military_unit_place_of_origin', '/fictional_universe/fictional_setting', '/symbols/flag_referent', '/symbols/name_source', '/book/book_subject', '/business/employer', '/organization/organization_member', '/business/asset_owner', '/film/film_subject', '/food/beer_country_region', '/organization/organization_scope', '/cvg/computer_game_region', '/military/military_combatant', '/law/court_jurisdiction_area']"", '?f': ""['/location/statistical_region', '/location/location', '/location/administrative_division', '/location/dated_location']"", '?a': ""['/business/consumer_product', '/wine/wine']""}"
?f  438  ?b  ?a  882  ?f   => ?a  880  ?b,0.718610864,0.994250513,1.0,2421,2435,2421,?a,75965060 438 50058429 41584783 882 68083444 => 84341333 880 89079872,?f /location/administrative_division/country ?b ?a /wine/wine/region ?f => ?a /wine/wine/country ?b,"Castilla-La Mancha /location/administrative_division/country Spain 41584783 /wine/wine/region 68083444 => 2006 Macchia ""Ambitious"" Zinfandel /wine/wine/country United States of America","{'?f': ""['/location/location', '/location/statistical_region', '/film/film_location', '/location/es_autonomous_community', '/location/administrative_division', '/location/dated_location']"", '?b': ""['/tv/tv_location', '/sports/sports_team_location', '/event/speech_topic', '/organization/organization_sector', '/government/governmental_jurisdiction', '/olympics/olympic_participating_country', '/location/administrative_division', '/location/country', '/sports/sport_country', '/periodicals/newspaper_circulation_area', '/location/location', '/travel/travel_destination', '/media_common/quotation_subject', '/meteorology/cyclone_affected_area', '/biology/breed_origin', '/exhibitions/exhibition_subject', '/religion/religious_leadership_jurisdiction', '/radio/radio_subject', '/location/dated_location', '/organization/contact_category', '/organization/organization_founder', '/film/film_location', '/location/statistical_region', '/business/business_location', '/media_common/quotation_addressee', '/government/government', '/military/military_unit_place_of_origin', '/fictional_universe/fictional_setting', '/symbols/flag_referent', '/symbols/name_source', '/book/book_subject', '/business/employer', '/organization/organization_member', '/business/asset_owner', '/film/film_subject', '/food/beer_country_region', '/organization/organization_scope', '/cvg/computer_game_region', '/military/military_combatant', '/law/court_jurisdiction_area']"", '?a': ""['/business/consumer_product', '/wine/wine']""}"
?b  2133  ?f  ?a  898  ?f   => ?a  880  ?b,0.552686257,1.0,1.0,1862,1862,1862,?a,22089668 2133 62376061 84873711 898 79783114 => 99274527 880 89079872,?b /location/country/second_level_divisions ?f ?a /wine/wine/wine_sub_region ?f => ?a /wine/wine/country ?b,"Brazil /location/country/second_level_divisions Tracuateua 84873711 /wine/wine/wine_sub_region 79783114 => 2005 Stonehedge ""Terroir Select"" Alexander Valley Cabernet Sauvignon /wine/wine/country United States of America","{'?b': ""['/tv/tv_location', '/sports/sports_team_location', '/event/speech_topic', '/organization/organization_sector', '/government/governmental_jurisdiction', '/olympics/olympic_participating_country', '/location/administrative_division', '/location/country', '/sports/sport_country', '/periodicals/newspaper_circulation_area', '/location/location', '/travel/travel_destination', '/media_common/quotation_subject', '/meteorology/cyclone_affected_area', '/biology/breed_origin', '/exhibitions/exhibition_subject', '/religion/religious_leadership_jurisdiction', '/radio/radio_subject', '/location/dated_location', '/organization/contact_category', '/organization/organization_founder', '/film/film_location', '/location/statistical_region', '/business/business_location', '/media_common/quotation_addressee', '/government/government', '/military/military_unit_place_of_origin', '/fictional_universe/fictional_setting', '/symbols/flag_referent', '/symbols/name_source', '/book/book_subject', '/business/employer', '/organization/organization_member', '/business/asset_owner', '/film/film_subject', '/food/beer_country_region', '/organization/organization_scope', '/cvg/computer_game_region', '/military/military_combatant', '/law/court_jurisdiction_area']"", '?f': ""['/location/administrative_division', '/location/statistical_region', '/location/location', '/location/dated_location']"", '?a': ""['/business/consumer_product', '/wine/wine']""}"
?a  154  ?f  ?f  286  ?b   => ?a  154  ?b,0.17212932,0.998706339,0.998706339,772,773,773,?a,63345566 154 83889799 66473805 286 66473805 => 87588471 154 66984026,?a /sports/sports_team/location ?f ?f /location/hud_county_place/place ?b => ?a /sports/sports_team/location ?b,Real Madrid Baloncesto /sports/sports_team/location Madrid 66473805 /location/hud_county_place/place 66473805 => West Michigan Whitecaps /sports/sports_team/location Comstock Park,"{'?a': ""['/business/employer', '/sports/professional_sports_team', '/sports/sports_team', '/baseball/baseball_team']"", '?f': ""['/location/place_with_neighborhoods', '/sports/sports_team_location', '/government/governmental_jurisdiction', '/organization/organization_scope', '/location/citytown', '/olympics/olympic_bidding_city', '/government/political_district', '/location/dated_location', '/book/book_subject', '/location/capital_of_administrative_division', '/fictional_universe/fictional_setting', '/film/film_location', '/location/location', '/location/statistical_region', '/travel/travel_destination', '/periodicals/newspaper_circulation_area', '/location/administrative_division']"", '?b': ""['/sports/sports_team_location', '/location/hud_foreclosure_area', '/location/statistical_region', '/location/hud_county_place', '/location/dated_location', '/location/location', '/location/census_designated_place']""}"
?b  176  ?f  ?a  526  ?f   => ?a  526  ?b,0.938730853,0.997674419,0.997674419,429,430,430,?a,75878578 176 24430784 79498737 526 40567119 => 79498737 526 40567119,?b /education/educational_institution/campuses ?f ?a /education/honorary_degree/institution ?f => ?a /education/honorary_degree/institution ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus 79498737 /education/honorary_degree/institution Cairn University => 79498737 /education/honorary_degree/institution Cairn University,"{'?b': ""['/education/university', '/location/location', '/business/employer', '/education/educational_institution_campus', '/education/educational_institution', '/organization/organization', '/award/ranked_item', '/organization/endowed_organization']"", '?f': ""['/education/university', '/location/location', '/business/employer', '/education/educational_institution_campus', '/education/educational_institution', '/organization/organization', '/award/ranked_item', '/organization/endowed_organization']""}"
?b  2238  ?e  ?e  764  ?a   => ?a  633  ?b,0.887836316,0.963512261,1.0,22868,23734,22868,?a,73088665 2238 94355681 21284053 764 16915306 => 82139212 633 73088665,?b /biology/chromosome/locus ?e ?e /biology/genomic_locus/annotation ?a => ?a /biology/gene/chromosome ?b,Escherichia coli str. K-12 substr. MG1655 /biology/chromosome/locus b3050 b3028 /biology/genomic_locus/annotation mdaB => insE /biology/gene/chromosome Escherichia coli str. K-12 substr. MG1655,"{'?b': ""['/biology/chromosome']"", '?e': ""['/biology/genomic_locus']"", '?a': ""['/biology/gene']""}"
?b  2238  ?f  ?a  634  ?f   => ?a  633  ?b,0.888030438,1.0,1.0,22873,22873,22873,?a,73088665 2238 94355681 73846587 634 31216636 => 82139212 633 73088665,?b /biology/chromosome/locus ?f ?a /biology/gene/locus ?f => ?a /biology/gene/chromosome ?b,Escherichia coli str. K-12 substr. MG1655 /biology/chromosome/locus b3050 73846587 /biology/gene/locus 31216636 => insE /biology/gene/chromosome Escherichia coli str. K-12 substr. MG1655,"{'?b': ""['/biology/chromosome']"", '?f': ""['/biology/genomic_locus']"", '?a': ""['/biology/gene']""}"
?f  434  ?b  ?a  434  ?f   => ?a  434  ?b,0.349773071,1.0,1.0,1156,1156,1156,?a,54071888 434 84784950 45017728 434 35934914 => 54071888 434 84784950,?f /theater/play/genre ?b ?a /theater/play/genre ?f => ?a /theater/play/genre ?b,Duel of Angels /theater/play/genre Drama 45017728 /theater/play/genre 35934914 => Duel of Angels /theater/play/genre Drama,"{'?f': ""['/book/written_work', '/theater/play']"", '?b': ""['/comic_books/comic_book_genre', '/radio/radio_subject', '/film/film_genre', '/film/film_subject', '/internet/website_category', '/media_common/literary_genre', '/media_common/netflix_genre', '/book/book_subject', '/broadcast/genre', '/film/film_festival_focus', '/media_common/media_genre', '/education/field_of_study', '/tv/tv_genre', '/theater/theater_genre', '/award/award_discipline']"", '?a': ""['/book/written_work', '/theater/play']""}"
?a  1362  ?f  ?f  1370  ?b   => ?a  1363  ?b,0.999623839,0.999976482,0.999976482,42519,42520,42520,?a,24527098 1362 25598183 25597313 1370 462894 => 16350659 1363 54475235,?a /medicine/drug_formulation/strength ?f ?f /medicine/drug_strength/active_ingredient ?b => ?a /medicine/drug_formulation/active_ingredients ?b,Dobutamine hydrochloride 2 injectable solution /medicine/drug_formulation/strength 25598183 25597313 /medicine/drug_strength/active_ingredient 462894 => Oxygen-carbon dioxide mixture 700/300 gas /medicine/drug_formulation/active_ingredients Dioxygen,"{'?a': ""['/medicine/drug_formulation']"", '?b': ""['/chemistry/chemical_compound', '/medicine/drug', '/medicine/condition_prevention_factors', '/medicine/medical_treatment', '/medicine/drug_ingredient']""}"
?f  283  ?b  ?a  286  ?f   => ?a  283  ?b,0.242640481,0.999664964,0.999664964,23870,23878,23878,?b,27909 283 10458974 28727806 286 28727806 => 27909 283 10458974,?f /location/hud_foreclosure_area/hhuniv ?b ?a /location/hud_county_place/place ?f => ?a /location/hud_foreclosure_area/hhuniv ?b,Buna /location/hud_foreclosure_area/hhuniv 10458974 Douglassville /location/hud_county_place/place Douglassville => Buna /location/hud_foreclosure_area/hhuniv 10458974,"{'?f': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?a': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']""}"
?a  286  ?f  ?f  288  ?b   => ?a  288  ?b,0.242642948,0.999664964,0.999664964,23870,23878,23878,?b,28727806 286 28727806 27909 288 57466943 => 27909 288 57466943,?a /location/hud_county_place/place ?f ?f /location/hud_foreclosure_area/estimated_number_foreclosures ?b => ?a /location/hud_foreclosure_area/estimated_number_foreclosures ?b,Douglassville /location/hud_county_place/place Douglassville Buna /location/hud_foreclosure_area/estimated_number_foreclosures 57466943 => Buna /location/hud_foreclosure_area/estimated_number_foreclosures 57466943,"{'?a': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']"", '?f': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']""}"
?a  2091  ?f  ?b  633  ?f   => ?a  1933  ?b,0.211841824,1.0,1.0,25757,25757,25757,?b,78144945 2091 92267784 82139212 633 73088665 => 78144945 1933 78620505,?a /biology/genome/chromosome ?f ?b /biology/gene/chromosome ?f => ?a /biology/genome/gene ?b,Human genome /biology/genome/chromosome Chromosome 13 (human) insE /biology/gene/chromosome Escherichia coli str. K-12 substr. MG1655 => Human genome /biology/genome/gene retbindin,"{'?a': ""['/projects/project_focus', '/biology/genome', '/book/book_subject']"", '?f': ""['/biology/chromosome']"", '?b': ""['/biology/gene']""}"
?f  285  ?b  ?a  286  ?f   => ?a  285  ?b,0.242638015,0.999664964,0.999664964,23870,23878,23878,?b,27909 285 44106927 28727806 286 28727806 => 27909 285 44106927,?f /location/hud_foreclosure_area/estimated_number_of_mortgages ?b ?a /location/hud_county_place/place ?f => ?a /location/hud_foreclosure_area/estimated_number_of_mortgages ?b,Buna /location/hud_foreclosure_area/estimated_number_of_mortgages 44106927 Douglassville /location/hud_county_place/place Douglassville => Buna /location/hud_foreclosure_area/estimated_number_of_mortgages 44106927,"{'?f': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?a': ""['/location/location', '/location/statistical_region', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/dated_location', '/location/census_designated_place']""}"
?f  777  ?b  ?a  777  ?f   => ?a  777  ?b,0.717366731,1.0,1.0,79962,79962,79962,?a,88533055 777 157366 70015994 777 25367489 => 88533055 777 157366,?f /biology/gene_ontology_group_membership_evidence/evidence_type ?b ?a /biology/gene_ontology_group_membership_evidence/evidence_type ?f => ?a /biology/gene_ontology_group_membership_evidence/evidence_type ?b,Traceable Author Statement /biology/gene_ontology_group_membership_evidence/evidence_type Traceable Author Statement 70015994 /biology/gene_ontology_group_membership_evidence/evidence_type 25367489 => Traceable Author Statement /biology/gene_ontology_group_membership_evidence/evidence_type Traceable Author Statement,"{'?f': ""['/biology/gene_group_membership_evidence', '/biology/gene_ontology_group_membership_evidence']"", '?b': ""['/biology/gene_ontology_group_membership_evidence_type']"", '?a': ""['/biology/gene_group_membership_evidence', '/biology/gene_ontology_group_membership_evidence']""}"
?a  121  ?e  ?e  286  ?b   => ?a  121  ?b,0.23928583,0.999954706,0.999954706,88307,88311,88311,?a,37900912 121 21634765 32383893 286 32383893 => 69574730 121 69427213,?a /people/place_lived/location ?e ?e /location/hud_county_place/place ?b => ?a /people/place_lived/location ?b,anikaitchavan's types /people/place_lived/location Paithan 32383893 /location/hud_county_place/place 32383893 => 69574730 /people/place_lived/location Lawton,"{'?a': ""['/people/person', '/people/place_lived']"", '?e': ""['/location/location', '/location/dated_location', '/location/statistical_region', '/location/citytown']"", '?b': ""['/location/location', '/location/hud_county_place', '/location/capital_of_administrative_division', '/location/hud_foreclosure_area', '/location/citytown', '/location/statistical_region', '/location/dated_location', '/periodicals/newspaper_circulation_area']""}"
?e  286  ?b  ?a  73  ?e   => ?a  73  ?b,0.280188054,0.99983111,0.99983111,71040,71052,71052,?a,28727806 286 28727806 38449428 73 22469495 => 38449428 73 22469495,?e /location/hud_county_place/place ?b ?a /people/deceased_person/place_of_death ?e => ?a /people/deceased_person/place_of_death ?b,Douglassville /location/hud_county_place/place Douglassville Warren Rudman /people/deceased_person/place_of_death Washington\ D.C. => Warren Rudman /people/deceased_person/place_of_death Washington\ D.C.,"{'?e': ""['/book/book_subject', '/business/employer', '/fictional_universe/fictional_setting', '/film/film_location', '/government/governmental_jurisdiction', '/location/administrative_division', '/location/citytown', '/location/dated_location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/location', '/location/metropolitan_area_anchor', '/location/place_with_neighborhoods', '/location/statistical_region', '/location/us_federal_district', '/military/military_post', '/military/military_unit_place_of_origin', '/organization/organization_scope', '/periodicals/newspaper_circulation_area', '/projects/project_focus', '/sports/sports_team_location', '/symbols/namesake', '/travel/travel_destination', '/visual_art/art_subject']"", '?b': ""['/book/book_subject', '/business/employer', '/fictional_universe/fictional_setting', '/film/film_location', '/government/governmental_jurisdiction', '/location/administrative_division', '/location/citytown', '/location/dated_location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/location', '/location/metropolitan_area_anchor', '/location/place_with_neighborhoods', '/location/statistical_region', '/location/us_federal_district', '/military/military_post', '/military/military_unit_place_of_origin', '/organization/organization_scope', '/periodicals/newspaper_circulation_area', '/projects/project_focus', '/sports/sports_team_location', '/symbols/namesake', '/travel/travel_destination', '/visual_art/art_subject']"", '?a': ""['/people/person', '/government/politician', '/business/board_member', '/government/u_s_congressperson', '/people/deceased_person', '/organization/organization_founder', '/military/military_person', '/book/author']""}"
?e  286  ?b  ?a  65  ?e   => ?a  65  ?b,0.587781623,0.999969243,0.999969243,162561,162566,162566,?a,28727806 286 28727806 50543583 65 84598434 => 50543583 65 84598434,?e /location/hud_county_place/place ?b ?a /location/mailing_address/citytown ?e => ?a /location/mailing_address/citytown ?b,Douglassville /location/hud_county_place/place Douglassville 50543583 /location/mailing_address/citytown Rocky Mount => 50543583 /location/mailing_address/citytown Rocky Mount,"{'?e': ""['/location/hud_foreclosure_area', '/location/location', '/location/hud_county_place', '/location/statistical_region', '/government/governmental_jurisdiction', '/location/administrative_division', '/location/citytown', '/location/dated_location', '/periodicals/newspaper_circulation_area']"", '?b': ""['/location/hud_foreclosure_area', '/location/location', '/location/hud_county_place', '/location/statistical_region', '/government/governmental_jurisdiction', '/location/administrative_division', '/location/citytown', '/location/dated_location', '/periodicals/newspaper_circulation_area']""}"
?a  13  ?e  ?e  286  ?b   => ?a  13  ?b,0.198588626,0.999957125,0.999957125,209905,209914,209914,?a,18253249 13 12197090 32383893 286 32383893 => 32833830 13 76237385,?a /people/person/place_of_birth ?e ?e /location/hud_county_place/place ?b => ?a /people/person/place_of_birth ?b,Karina Gazizova /people/person/place_of_birth Russia 32383893 /location/hud_county_place/place 32383893 => Gina Gionfriddo /people/person/place_of_birth New York City,"{'?a': ""['/award/award_nominee', '/book/author', '/people/person', '/award/award_winner', '/tv/tv_writer']"", '?e': ""['/periodicals/newspaper_circulation_area', '/location/statistical_region', '/symbols/flag_referent', '/tv/tv_location', '/location/administrative_division', '/location/country', '/organization/organization_member', '/olympics/olympic_participating_country', '/government/governmental_jurisdiction', '/biology/breed_origin', '/meteorology/cyclone_affected_area', '/book/book_subject', '/symbols/coat_of_arms_bearer', '/sports/sport_country', '/travel/travel_destination', '/sports/sports_team_location', '/food/beer_country_region', '/fictional_universe/fictional_setting', '/location/location', '/military/military_combatant', '/location/dated_location', '/media_common/netflix_genre', '/organization/organization_founder', '/organization/organization_scope']"", '?b': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']""}"
?e  160  ?b  ?e  234  ?a   => ?a  316  ?b,0.901011857,0.9961019,0.998033418,72572,72856,72715,?a,65605142 160 21049095 101175413 234 56974337 => 88861909 316 694783,?e /tv/tv_series_episode/series ?b ?e /tv/tv_series_episode/season ?a => ?a /tv/tv_series_season/series ?b,Station 15: What's in the Heart /tv/tv_series_episode/series Super Sentai August 17\2004 /tv/tv_series_episode/season GMTV - Season 12 => The TSO Show - Season 1 /tv/tv_series_season/series The TSO Show,"{'?e': ""['/tv/tv_series_episode']"", '?b': ""['/tv/tv_program']"", '?a': ""['/tv/tv_series_season']""}"
?e  286  ?b  ?a  515  ?e   => ?a  515  ?b,0.676072206,1.0,1.0,392466,392466,392466,?a,28727806 286 28727806 84891983 515 76237385 => 84891983 515 76237385,?e /location/hud_county_place/place ?b ?a /book/book_edition/place_of_publication ?e => ?a /book/book_edition/place_of_publication ?b,Douglassville /location/hud_county_place/place Douglassville Halogen chemistry /book/book_edition/place_of_publication New York City => Halogen chemistry /book/book_edition/place_of_publication New York City,"{'?e': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']"", '?b': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']"", '?a': ""['/book/book_edition', '/media_common/cataloged_instance']""}"
?e  286  ?a  ?e  529  ?b   => ?a  529  ?b,0.267148072,0.999390929,0.999390929,400366,400610,400610,?b,28727806 286 28727806 114039 529 60257617 => 114039 529 60257617,?e /location/hud_county_place/place ?a ?e /location/statistical_region/unemployment_rate ?b => ?a /location/statistical_region/unemployment_rate ?b,Douglassville /location/hud_county_place/place Douglassville Odessa /location/statistical_region/unemployment_rate 60257617 => Odessa /location/statistical_region/unemployment_rate 60257617,"{'?e': ""['/government/governmental_jurisdiction', '/location/citytown', '/location/dated_location', '/location/location', '/location/statistical_region', '/location/hud_county_place', '/periodicals/newspaper_circulation_area', '/location/hud_foreclosure_area', '/location/capital_of_administrative_division', '/fictional_universe/fictional_setting']"", '?a': ""['/government/governmental_jurisdiction', '/location/citytown', '/location/dated_location', '/location/location', '/location/statistical_region', '/location/hud_county_place', '/periodicals/newspaper_circulation_area', '/location/hud_foreclosure_area', '/location/capital_of_administrative_division', '/fictional_universe/fictional_setting']""}"
?b  286  ?f  ?a  515  ?f   => ?a  515  ?b,0.676072206,1.0,1.0,392466,392466,392466,?a,28727806 286 28727806 84891983 515 76237385 => 84891983 515 76237385,?b /location/hud_county_place/place ?f ?a /book/book_edition/place_of_publication ?f => ?a /book/book_edition/place_of_publication ?b,Douglassville /location/hud_county_place/place Douglassville Halogen chemistry /book/book_edition/place_of_publication New York City => Halogen chemistry /book/book_edition/place_of_publication New York City,"{'?b': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']"", '?f': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']"", '?a': ""['/book/book_edition', '/media_common/cataloged_instance']""}"
?e  23  ?b  ?e  286  ?a   => ?a  23  ?b,0.479778518,0.99974726,0.99974726,862328,862546,862546,?b,44520344 23 28744132 28727806 286 28727806 => 52552671 23 52552681,?e /location/statistical_region/population ?b ?e /location/hud_county_place/place ?a => ?a /location/statistical_region/population ?b,Petrykivs’kyi Raion /location/statistical_region/population 28744132 Douglassville /location/hud_county_place/place Douglassville => Lake Kiowa /location/statistical_region/population 52552681,"{'?e': ""['/location/statistical_region', '/location/dated_location', '/location/citytown', '/location/hud_county_place', '/location/location', '/location/hud_foreclosure_area']"", '?a': ""['/location/statistical_region', '/location/location', '/location/census_designated_place', '/location/dated_location', '/location/hud_foreclosure_area', '/location/hud_county_place']""}"
?a  234  ?e  ?e  316  ?b   => ?a  160  ?b,0.983681643,0.998460449,0.999036854,1346369,1348445,1347667,?a,101175413 234 56974337 88861909 316 694783 => 65605142 160 21049095,?a /tv/tv_series_episode/season ?e ?e /tv/tv_series_season/series ?b => ?a /tv/tv_series_episode/series ?b,August 17\2004 /tv/tv_series_episode/season GMTV - Season 12 The TSO Show - Season 1 /tv/tv_series_season/series The TSO Show => Station 15: What's in the Heart /tv/tv_series_episode/series Super Sentai,"{'?a': ""['/tv/tv_series_episode']"", '?e': ""['/tv/tv_series_season']"", '?b': ""['/tv/tv_program', '/film/film_series']""}"
?e  234  ?b  ?e  237  ?a   => ?a  234  ?b,0.583550924,0.99785427,0.99824728,788246,789941,789630,?a,101175413 234 56974337 52505251 237 20023849 => 101175413 234 56974337,?e /tv/tv_series_episode/season ?b ?e /tv/tv_series_episode/previous_episode ?a => ?a /tv/tv_series_episode/season ?b,August 17\2004 /tv/tv_series_episode/season GMTV - Season 12 Murray And Me /tv/tv_series_episode/previous_episode Memoirs Of A Chaise Longue => August 17\2004 /tv/tv_series_episode/season GMTV - Season 12,"{'?e': ""['/tv/tv_series_episode']"", '?b': ""['/tv/tv_series_season']"", '?a': ""['/tv/tv_series_episode']""}"
?e  160  ?b  ?e  237  ?a   => ?a  160  ?b,0.577078755,0.99933323,0.999679789,789850,790377,790103,?a,65605142 160 21049095 52505251 237 20023849 => 87793675 160 84497314,?e /tv/tv_series_episode/series ?b ?e /tv/tv_series_episode/previous_episode ?a => ?a /tv/tv_series_episode/series ?b,Station 15: What's in the Heart /tv/tv_series_episode/series Super Sentai Murray And Me /tv/tv_series_episode/previous_episode Memoirs Of A Chaise Longue => That's Not My Penguin /tv/tv_series_episode/series Awake,"{'?e': ""['/tv/tv_series_episode']"", '?b': ""['/tv/tv_program']"", '?a': ""['/tv/tv_series_episode']""}"
?f  234  ?b  ?a  237  ?f   => ?a  234  ?b,0.583574615,0.997800045,0.998246087,788278,790016,789663,?a,101175413 234 56974337 52505251 237 20023849 => 101175413 234 56974337,?f /tv/tv_series_episode/season ?b ?a /tv/tv_series_episode/previous_episode ?f => ?a /tv/tv_series_episode/season ?b,August 17\2004 /tv/tv_series_episode/season GMTV - Season 12 Murray And Me /tv/tv_series_episode/previous_episode Memoirs Of A Chaise Longue => August 17\2004 /tv/tv_series_episode/season GMTV - Season 12,"{'?f': ""['/tv/tv_series_episode']"", '?b': ""['/tv/tv_series_season']"", '?a': ""['/tv/tv_series_episode']""}"
?f  160  ?b  ?a  237  ?f   => ?a  160  ?b,0.577127706,0.999321908,0.999679816,789917,790453,790170,?a,65605142 160 21049095 52505251 237 20023849 => 87793675 160 84497314,?f /tv/tv_series_episode/series ?b ?a /tv/tv_series_episode/previous_episode ?f => ?a /tv/tv_series_episode/series ?b,Station 15: What's in the Heart /tv/tv_series_episode/series Super Sentai Murray And Me /tv/tv_series_episode/previous_episode Memoirs Of A Chaise Longue => That's Not My Penguin /tv/tv_series_episode/series Awake,"{'?f': ""['/tv/tv_series_episode']"", '?b': ""['/tv/tv_program']"", '?a': ""['/tv/tv_series_episode']""}"
